"","x"
"1","compliments"
"2","glamourous"
"3","time"
"4","celebrate"
"5","completion"
"6","law"
"7","school"
"8","dress"
"9","arrived"
"10","perfect"
"11","condition"
"12","love"
"13","traditional"
"14","touch"
"15","sass"
"16","literally"
"17","cutest"
"18","beautifully"
"19","received"
"20","lots"
"21","black"
"22","tie"
"23","event"
"24","masquerade"
"25","ball"
"26","attended"
"27","fun"
"28","wear"
"29","buy"
"30","stunning"
"31","year's"
"32","eve"
"33","wedding"
"34","feel"
"35","confident"
"36","sexy"
"37","replacement"
"38","gown"
"39","wore"
"40","heart"
"41","night"
"42","leggings"
"43","awesome"
"44","cute"
"45","comfortable"
"46","loved"
"47","semi"
"48","formal"
"49","gala"
"50","ready"
"51","spring"
"52","fashionable"
"53","conservative"
"54","super"
"55","trendy"
"56","ceremonies"
"57","dancing"
"58","elegance"
"59","sophistication"
"60","easy"
"61","danced"
"62","runs"
"63","unique"
"64","material"
"65","expecting"
"66","exceeded"
"67","expectations"
"68","day"
"69","color"
"70","fit"
"71","length"
"72","beautiful"
"73","pretty"
"74","flattering"
"75","gatsby"
"76","themed"
"77","party"
"78","classy"
"79","littttttle"
"80","sweater"
"81","style"
"82","brought"
"83","wow"
"84","factor"
"85","recommend"
"86","strange"
"87","detail"
"88","quality"
"89","short"
"90","complimented"
"91","lot"
"92","hanger"
"93","gorgeous"
"94","flowy"
"95","jumpsuit"
"96","talking"
"97","rtr"
"98","buying"
"99","vegas"
"100","rented"
"101","35th"
"102","birthday"
"103","dinner"
"104","thick"
"105","stylist"
"106","review"
"107","prom"
"108","bright"
"109","pattern"
"110","brunch"
"111","top"
"112","wearing"
"113","pajamas"
"114","public"
"115","amazing"
"116","late"
"117","summer"
"118","outdoor"
"119","pockets"
"120","bought"
"121","jacket"
"122","fabulous"
"123","tons"
"124","romper"
"125","receiving"
"126","flirty"
"127","totally"
"128","fantastic"
"129","eye"
"130","catching"
"131","décolletage"
"132","display"
"133","cool"
"134","live"
"135","hit"
"136","evening"
"137","form"
"138","fitting"
"139","rental"
"140","process"
"141","combo"
"142","bridal"
"143","stopper"
"144","red"
"145","holiday"
"146","occasion"
"147","ahead"
"148","schedule"
"149","stretched"
"150","vibrant"
"151","updated"
"152","movie"
"153","wonderful"
"154","life"
"155","ease"
"156","transaction"
"157","satisfaction"
"158","standout"
"159","subtle"
"160","total"
"161","vixen"
"162","mix"
"163","glam"
"164","drama"
"165","understated"
"166","classic"
"167","chic"
"168","stand"
"169","absolutely"
"170","exquisite"
"171","seams"
"172","tailoring"
"173","researched"
"174","styles"
"175","deciding"
"176","comfy"
"177","cocktail"
"178","date"
"179","greeted"
"180","door"
"181","hot"
"182","hell"
"183","tonight"
"184","bridesmaid"
"185","friend's"
"186","galore"
"187","husband"
"188","christmas"
"189","true"
"190","showstopper"
"191","sultry"
"192","winter"
"193","favorite"
"194","rentals"
"195","tempted"
"196","nice"
"197","curves"
"198","kentucky"
"199","derby"
"200","outfit"
"201","reunion"
"202","colors"
"203","million"
"204","bucks"
"205","fancy"
"206","valentine's"
"207","lovely"
"208","lace"
"209","delicate"
"210","details"
"211","adorable"
"212","sweet"
"213","fits"
"214","glove"
"215","lbd"
"216","lights"
"217","fitted"
"218","shower"
"219","belly"
"220","return"
"221","sparkle"
