,items
1,1882156
2,1746190
3,914136
4,152836
5,131698
6,146684
7,1213427
8,1700586
9,254493
10,1348294
11,1729496
12,125564
13,125424
14,2491997,2204947
15,2832093
16,2801353
17,2874536,1009409
18,2939236,2088124,2501372
19,2445683,2385167,2267668,2525612,2380117,1999720,2922919
20,1325648
21,182915
22,975243
23,140321
24,466944
25,1980086
26,555308
27,453349,1082379
28,2650125
29,383302
30,244379,1048184,569832
31,2094768
32,2005193
33,2031136
34,124204
35,128959
36,147020
37,283978
38,683251
39,131533
40,357231
41,164051
42,1015626
43,870021
44,174086
45,1113191
46,241461
47,1701960
48,141761
49,136110
50,305868
51,141300
52,1749759
53,124204
54,1419083
55,486225
56,780217,2250584
57,427227
58,139792
59,918064
60,136860
61,693185
62,152836
63,417055
64,2757438
65,1824330
66,653200
67,123793
68,1195998
69,1763704
70,2543997,1101264
71,132135
72,158028
73,130259,142179
74,1016759
75,147594
76,1449570
77,1484078
78,432268
79,125465
80,858304
81,1695279
82,638318
83,218606
84,833666
85,308150
86,181737
87,136860
88,169179
89,1278211,148089
90,286193,2956453
91,2468077
92,145906,144714
93,1095695
94,2001228,1515004
95,1956527
96,216159,561264
97,2673874
98,134849
99,1148823
100,889239
101,2342335,2477847
102,467817
103,199231
104,194369
105,363135
106,1348294
107,1851598
108,1215281
109,734229
110,1402874,1228651
111,543189
112,832622
113,2506121
114,443464
115,174086
116,1106101
117,138431
118,166633
119,925104
120,2360471
121,2530612
122,348662
123,2269659
124,2375866,265806,2757438
125,2916826,2003146
126,755371
127,195613
128,1615177
129,407323
130,1309537
131,1919019
132,132135
133,148690
134,1754771,1238932,956997
135,1437612
136,350977
137,131117
138,172027
139,753788
140,1210991
141,2460620
142,1815068
143,127081
144,1390212
145,255986
146,1992625
147,903647
148,133584
149,124204
150,909677
151,185226,374312
152,129831
153,1317846
154,1282254
155,169961
156,1010328
157,450618
158,858828
159,1483562
160,576743
161,1772024
162,1010328
163,1363362
164,2172493
165,169961
166,1339601
167,1596783
168,1605090,1904669
169,155820,144931
170,1064397
171,2164765
172,143094
173,2833955
174,1126889
175,833666
176,1973037
177,162634
178,754797,2238060
179,1231865
180,1415952
181,132738
182,499195
183,1064397
184,1450102
185,1366101,1728434
186,755371
187,183945
188,1786364
189,147594
190,127865
191,2707303
192,1223725
193,166633
194,2869596,988239
195,783906
196,127865
197,963476,137585
198,141300
199,123793
200,1241917
201,136110
202,1769705
203,1545760,193179
204,1730006
205,1399020
206,263981
207,1523882
208,1567172
209,140321
210,131698
211,1734206
212,818635
213,1132735
214,1553158
215,1513452
216,1604219
217,134015
218,313821,1772362
219,296430
220,1019819,1962198
221,1783169
222,1524171,550800,276603,574909,1242444,463678,945880
223,2860188,2029039
224,2537366
225,358662
226,636562,1796472
227,1545760
228,1308013
229,1111873
230,162634
231,920927
232,154002
233,181453
234,987743
235,1730006,1731993
236,1811245
237,2132117
238,166633
239,1123833,1600051
240,127865
241,1171567
242,753003
243,1942313
244,575727
245,1449570
246,1511014
247,431518
248,1928796
249,545632
250,686720
251,1057664
252,340686
253,1289088
254,1031440
255,2160087,2649640
256,2771965,1984705,554095,1046153
257,963476
258,132738
259,1528722
260,131698
261,126335
262,496108
263,1693091
264,134015
265,206849
266,616682,963476
267,965768
268,172027
269,1848727
270,131698
271,1103425
272,963476
273,1337205
274,1226293
275,987052
276,146684
277,172027
278,180843
279,136110
280,1585757
281,2673990
282,1551720
283,123793
284,755371
285,140877
286,341450
287,1308013
288,145906
289,148089
290,136110
291,141300
292,588814
293,144714
294,903091
295,1675905
296,1728908
297,439740
298,374312,155820
299,543189
300,1567312
301,918397
302,1904669
303,965888,2740458
304,1844408
305,1661123,2582233
306,146684
307,1175903
308,1250367,233596
309,124204
310,1617260
311,858828
312,1671465
313,1220393,1114441
314,1276802
315,1325648
316,1631851
317,1502884,536347
318,2008057,2834619
319,645694
320,1974220,1008562
321,1859768
322,1286229,1787191
323,276763
324,472922,1567312
325,344877,561215
326,970500
327,124204
328,267521
329,963476
330,550590,305868,1971103
331,734229
332,657626
333,139792
334,127495,833599
335,1187659
336,716777
337,1049694,1119245
338,1018841
339,1787191
340,1018841,166633
341,335248,349579
342,2586703
343,1523882
344,1858651
345,128959
346,164593
347,131533
348,2610728
349,149739
350,123793
351,1858651
352,1325648,1313746
353,1179273
354,1487216
355,1515649
356,154652
357,2236896
358,132135
359,522755
360,1251617
361,145906,737598
362,149739,1711225
363,325844
364,1425193
365,1366699
366,2650470,365727,2799298
367,1745124
368,1028680
369,1596783
370,162634
371,2743152
372,146684
373,730008
374,305868
375,2684666
376,1689782
377,168592
378,1394843
379,295304
380,1695279
381,1996590
382,315804
383,145906
384,1522253,1522253
385,2160087,1005880
386,1312996
387,2529552
388,1325648
389,146684
390,463728
391,2958376
392,1090011
393,1860491
394,932152
395,1831026
396,2281299
397,131117
398,131533
399,2747082,2836589
400,1353371
401,174391
402,123793
403,2317885
404,2834590
405,276056
406,281431
407,2215805
408,126335
409,301873
410,1379493
411,1754771
412,468020
413,948002
414,2284955,1042152,2552714,2086116,959200,1227811,2457608,2181896,2018882,1055399
415,309634
416,155735
417,2492236
418,989029
419,134393
420,123793
421,1505204
422,216959
423,721424,2783742
424,2771463
425,217822
426,1849737,1674936
427,1852099
428,240208
429,657768
430,1499974
431,2293670
432,153475
433,127081
434,187477
435,1547051
436,132135
437,125465
438,197391
439,285225
440,622527
441,1042783
442,879997
443,172027
444,1567172
445,1547178
446,1515649
447,2766308
448,1017773
449,614384
450,131698
451,124204
452,1971103
453,147440
454,124553
455,1399833,1260731
456,1259708
457,815986
458,2819787
459,408892
460,259136,2548337
461,173235
462,147594,124553
463,1869763
464,154652
465,1076484
466,472922,424691
467,1082379,1226293
468,125465
469,427691
470,180843
471,132738
472,126335
473,1090064
474,187477
475,2126196
476,180014
477,124553
478,517998
479,172027
480,131117
481,417055
482,144051
483,125564
484,1223725,127495,1016759
485,1094009
486,2700492
487,1695878
488,1617260
489,127865
490,1797023
491,1592912
492,1190171
493,601482
494,135750
495,617013
496,1567172
497,1063294
498,363135
499,141761
500,1545760
501,164593
502,1444142
503,475271,1841367
504,1745932
505,309634
506,1797448,1706448
507,2752000
508,124204
509,2150854,1486261
510,1282254
511,1596783
512,1869763
513,2719579
514,522755
515,503972
516,1729232
517,416027
518,293370
519,1987884
520,1355618
521,2357947
522,123793
523,750005
524,182915
525,1052971
526,1761515
527,703458
528,1095183
529,617766,155735
530,145906
531,509406
532,135750
533,1147823
534,2440235
535,132738
536,432275
537,730008
538,655775
539,1904556
540,145906
541,152836
542,1662825
543,1743343,159931
544,403038
545,1463604,172027
546,1384766,1384766
547,287475
548,1940985
549,2826127
550,315240
551,2343038
552,2520466
553,2500446
554,123793
555,162634
556,987536
557,168592,162634,902200
558,1605839
559,1258746
560,136110
561,1728434
562,128959
563,1773356
564,166633
565,693185
566,368421
567,2579422
568,2476239
569,1051003,1501987
570,789767
571,1349696
572,1662825
573,128959,123793
574,1057664
575,168012
576,1530271
577,162634
578,148690
579,2493150
580,2081161
581,2681264
582,124204
583,178429
584,153475
585,2168553
586,1514308
587,671761,2691997,696761,257262,1367424,977381,1113599,1581933
588,821189
589,2654931
590,126335
591,132738
592,146684
593,806803
594,1064397
595,1024498
596,2732280
597,2111962,2406172
598,2610728
599,963476
600,879997
601,125465
602,859889
603,172027
604,1042783
605,168610,166006
606,1897655
607,144585
608,1996590
609,1473684
610,1410653
611,145906
612,301960
613,1090064
614,1433766
615,1726756
616,1446293
617,1335648
618,337018
619,709832
620,123793
621,432275
622,134015
623,131533
624,1283795
625,195613
626,124204
627,144051
628,187477
629,1351301
630,522755
631,1113191
632,1163553
633,174086
634,130727
635,131117
636,155735
637,1048184
638,322434
639,1036336
640,1889597,125465
641,479885
642,1325648
643,327817
644,1567172
645,144714
646,999526
647,1413981
648,1793377
649,1213427
650,573147
651,137585
652,154002
653,1992625
654,1769705
655,1551720
656,924335
657,1969604
658,1101822
659,195076
660,135750
661,780217
662,897494
663,2484216
664,2490518,781281
665,127865
666,642677
667,154002,1108814
668,1406056
669,1982904
670,637670
671,852204,2396750
672,123793
673,1166927
674,131698
675,168610
676,166006
677,123373
678,847550,2905597
679,1314666
680,588814
681,1317846
682,240049
683,136110
684,1064397
685,1962198
686,127865
687,132738
688,153475
689,2356401,499042
690,1571668,1707988,1707988
691,911132
692,2239596,2743996
693,467817
694,132738
695,125465
696,988239
697,1384766,235441,1384766,631251
698,887695
699,1273149
700,2163773
701,1129399
702,2366355
703,1858651
704,1391320
705,2280839
706,331706
707,181453
708,904766
709,130727
710,127865
711,180014
712,756784
713,785603
714,166006
715,128730
716,2354652
717,1522959
718,1287125
719,932347
720,424691
721,125424
722,224876
723,952053,2011987,1631851
724,1420896
725,1859039
726,849468
727,152836
728,187984
729,2877562
730,1905844
731,1851598,613085
732,592539,1009845
733,932152
734,152662
735,145906
736,323870
737,126335
738,166633,172027
739,1453669
740,144714
741,1518795
742,1661761
743,1050242
744,1846399
745,178058,175496
746,1845636
747,1858651
748,1702526
749,1318793
750,1099530
751,2058499
752,1786364,1940255,298830
753,1745932,658625
754,145906
755,342311
756,146684
757,154002
758,132135
759,920927
760,2781713,1121132
761,2368838,1036336,2151449
762,145906
763,1675905
764,140877
765,142179
766,166633,172027
767,1345080
768,989029
769,765473
770,2463317
771,1545760
772,561864
773,123793
774,180014
775,195124
776,2463317
777,723450
778,148089
779,1692683
780,756819
781,136860
782,164593
783,1860491
784,1971103
785,1800440
786,1289088,1814462,1354920
787,1166927
788,1277141
789,1511595
790,1866411
791,1304627
792,329069
793,132738
794,985087
795,193179
796,180014
797,597314
798,929570
799,149739
800,904766
801,2363191
802,727157
803,739233
804,1636171
805,155735
806,2444237,508973
807,514036
808,2064568
809,693222
810,1529884,1880294
811,365727
812,861707
813,1973331,1074283
814,883838
815,1077123,597279
816,123373
817,276763
818,131533
819,195076
820,137585
821,130259
822,1213427
823,2174236
824,125564
825,141688
826,1692935,603369
827,1263582
828,1695878
829,134849
830,963476
831,2807362
832,2855612
833,127081
834,928312
835,228171
836,147440
837,1812370
838,912273,1711225
839,499679
840,1675905
841,828743
842,155735
843,756784
844,1241304
845,706647
846,1429859
847,1429022,136860,128730
848,126335
849,858828
850,680636
851,1252971
852,2049439
853,1783169,879452
854,2273951,458666
855,2771965
856,1383415
857,2391844
858,1685669
859,213089
860,2372553
861,595269
862,1295171
863,2738264
864,2420901
865,295362
866,2840984
867,1225471
868,1978905,1800907,1300112
869,1028170
870,2576099,1373876
871,2623904
872,1407928,1498329,1783600
873,1764436
874,2595491,2008978
875,142179
876,160612
877,2151515
878,2151449,2376757,2577550
879,484069
880,2458366
881,1123982,2859490
882,2083361
883,168592
884,162634
885,357231
886,416027
887,2781713
888,1109803
889,374312
890,1076484
891,136110
892,1610980
893,263699
894,132135
895,1693615
896,499042
897,573147
898,911132
899,1916904,555311
900,1840180
901,131533
902,162634
903,135750
904,1760942
905,360837
906,499380
907,314633
908,1768942
909,139086
910,1567172
911,125564
912,142179
913,152836
914,155735
915,1949394
916,916639
917,1698815,477660
918,2254449
919,1671970
920,124204
921,1818228
922,193179
923,1729232
924,1957774
925,183194
926,1082379
927,576000
928,1164757,820211,1567172
929,1335648
930,1987884
931,1260731
932,131117
933,517998
934,136110
935,153475
936,1228651
937,345146,2947498
938,1198944
939,2196262
940,429191,157448,133584
941,1463543
942,1859039
943,860350
944,1707988,1707988
945,399935
946,1754708
947,222318
948,1583612
949,1227811,2433401
950,1207360
951,2198677
952,555308
953,155381
954,963476
955,127865
956,1949394
957,126335
958,152836
959,1501987
960,1355618
961,255986
962,1241304
963,789011,245795,789011,897494
964,209578
965,2209432
966,1956527
967,958423,1335648
968,1931852
969,987536,131533
970,132738
971,137585
972,1671970
973,1787191
974,1379493
975,152836
976,547674
977,2579422
978,818210
979,131533
980,1106697
981,1920477,193361
982,2141414
983,1459683
984,2686655
985,417055
986,125465
987,470444,1229153,1208281
988,937638
989,125564
990,1808106
991,2180197
992,204063
993,861707
994,175496
995,1901762
996,1501987
997,600840
998,227716
999,134849
1000,283107
1001,1255234
1002,2310731
1003,962489
1004,123793
1005,156607
1006,2310753,1880626
1007,363135
1008,2770385
1009,943243
1010,1048184
1011,123793
1012,240208
1013,1164757
1014,2362581
1015,724319
1016,926842
1017,1992625
1018,1481329
1019,2746761
1020,1826136
1021,182578
1022,149739
1023,194182
1024,1940985
1025,665360,1378631,1224275
1026,1459683
1027,1867652,467817
1028,1083818
1029,1814462,670966,1007290
1030,350461
1031,1069265
1032,1793377
1033,1638869
1034,637670
1035,145906
1036,803339,1074283
1037,132738
1038,197391
1039,1001122
1040,1325648
1041,350461
1042,1920477
1043,136110
1044,128959
1045,463324
1046,1502343
1047,1268360,1851598
1048,281431
1049,1163310
1050,1175903,1491622
1051,164051
1052,987052
1053,1064397
1054,1981289
1055,124204
1056,323870
1057,627759
1058,589983,1699137,1250402,2358935
1059,144051
1060,257262
1061,193361
1062,1163553
1063,1080396,820211,239232
1064,512791
1065,159395
1066,2141414
1067,1889597
1068,1121132
1069,539385
1070,2396750
1071,569424
1072,2334570
1073,152998
1074,218606
1075,1238932
1076,620288
1077,126335
1078,127865
1079,138431,144714
1080,140877
1081,2928750
1082,529528,1552616
1083,2506779
1084,2158754
1085,914136
1086,2456857
1087,830504,234407
1088,972048
1089,2864831
1090,2740079,2646149
1091,1083523
1092,1674335
1093,868096
1094,1717957
1095,125564
1096,143094
1097,139086
1098,153475
1099,1692935
1100,174086
1101,1695878
1102,532135
1103,970010,387732,1411562,2402529
1104,226564,613085
1105,1498329,1219754
1106,1695279
1107,136860
1108,763288
1109,174086
1110,1603811
1111,190529
1112,263699
1113,730008
1114,1018841
1115,1896772
1116,1946466
1117,146684
1118,1808470
1119,1427330
1120,1057930
1121,616682
1122,283978,1701960
1123,531077
1124,1769705
1125,148089
1126,1106101
1127,865225
1128,1303995
1129,1918815
1130,143094
1131,136110
1132,176490
1133,730008
1134,1615177
1135,978935
1136,1860491,1973664
1137,1725162
1138,1499177
1139,826125
1140,2814609
1141,2259753
1142,2141914
1143,2837884
1144,2444721
1145,2948324
1146,1709498,137585
1147,1826136
1148,133584
1149,750005
1150,636785
1151,867148,405258
1152,1359622
1153,1770781
1154,127865
1155,168592
1156,131117
1157,2463317
1158,2929563,2659831
1159,136110
1160,1586334
1161,164051
1162,1194539,1473684,255986
1163,862446
1164,452942
1165,951810
1166,1714731
1167,1581933
1168,241461
1169,298336
1170,1584000
1171,155735,1142945
1172,2799298
1173,1768956
1174,131117
1175,126335
1176,1776280
1177,1313942
1178,569424
1179,1428087
1180,595269,543189
1181,1869763
1182,1196605
1183,236557
1184,128959
1185,944766
1186,350461
1187,1529884
1188,1231740
1189,1669291
1190,1805488
1191,193179
1192,948396
1193,123793
1194,580227,1534987,254960
1195,1063761
1196,1295171
1197,2459885
1198,1698815,1146825
1199,138431
1200,1451390
1201,166006
1202,1668882
1203,142179
1204,524341
1205,163328
1206,149739
1207,1228651
1208,2696263
1209,2493150,2280839
1210,1797448
1211,1011749
1212,2676460,2631147
1213,145906
1214,159931
1215,408994
1216,2529948
1217,242782
1218,1378631
1219,2719579
1220,699783
1221,569424
1222,1729232
1223,724319
1224,2330296
1225,1219754
1226,1800249
1227,174391
1228,136860
1229,1090011
1230,1515339
1231,2922418,2273798,2045492
1232,383302
1233,765872
1234,145906
1235,744451,1881176,916347,1504304,2581384,1815068,1992563,1281064,1432504
1236,1141778,1645046
1237,1661651,716072,1296364,498544
1238,130259
1239,1309537
1240,145906
1241,123373
1242,134849
1243,1476974
1244,147594
1245,1094009
1246,1292843
1247,126335
1248,1025572
1249,1334728
1250,498544,209668
1251,442500
1252,938882
1253,1220287,2362525
1254,232899
1255,1490515
1256,134015
1257,1440124
1258,123373
1259,348662,125424,1766461
1260,528243
1261,1955352
1262,172027
1263,1111981
1264,174391,1139708,1289088,190238,1178721,1784020,1667930,721424,999526
1265,127865
1266,1510617
1267,746366
1268,131533
1269,1093026
1270,1229740
1271,484069,337074
1272,1457171
1273,1832150
1274,281431
1275,156607
1276,254493
1277,138431
1278,1539576
1279,1226293
1280,730008
1281,2444721,2807362
1282,147594
1283,1854157
1284,2046224,2605640
1285,1221372
1286,2806136
1287,1860720
1288,590893
1289,1444603,2450451
1290,1880294
1291,164051
1292,838983
1293,1076484
1294,145906
1295,2826127
1296,141761
1297,1090064
1298,1325648
1299,864981,1706040
1300,1213427
1301,1525577
1302,2458366
1303,135459
1304,144051
1305,554095
1306,1674806
1307,1463543,1213427
1308,132738
1309,2141414,2373592
1310,1110928
1311,2547126
1312,1186923
1313,2494898
1314,1309537
1315,1257763,927817
1316,178058
1317,254493
1318,131533
1319,1669625
1320,1266176
1321,146684
1322,1384226
1323,2171671
1324,721403
1325,136110
1326,2261101
1327,2222184
1328,610093
1329,1498329
1330,1242444
1331,2637703,2742743
1332,2227585
1333,2679540
1334,2524821,1000739,2341911
1335,2903209
1336,1920477
1337,1346753,847550,819428
1338,944766
1339,1760942
1340,1255234
1341,141761
1342,180014
1343,1339136
1344,145906
1345,168610
1346,1083036
1347,1548554
1348,164051
1349,136860
1350,127495
1351,126335
1352,2654048
1353,136110
1354,979046
1355,693222,1433766
1356,125564
1357,166633
1358,330238
1359,131533
1360,164593
1361,1047613
1362,1002863
1363,1599225
1364,1108814
1365,1744232
1366,677837
1367,1359622
1368,1287535
1369,2098200
1370,532135
1371,1375793
1372,131117
1373,1615177
1374,1950240
1375,1285647
1376,527130
1377,166633
1378,1225430
1379,714374
1380,1746190
1381,1019819
1382,1126983
1383,1499177
1384,366475
1385,614741
1386,1241304
1387,2932257
1388,2896412
1389,2823710
1390,123373
1391,125564
1392,1056939,1626903
1393,187984
1394,1662059
1395,1163129
1396,1163553,1429022
1397,138431
1398,902478,458919
1399,1859977
1400,640617,2004376
1401,123793
1402,149655
1403,638318
1404,472922
1405,2758095
1406,443464
1407,1795313
1408,2569151
1409,132738
1410,1662825
1411,199231
1412,138431
1413,131117
1414,231716,2007230
1415,1792993,798217,869052,1650899
1416,638318
1417,1685489,1685669
1418,413010
1419,1773356
1420,925665,1982904,693849
1421,187477
1422,1681289
1423,162634
1424,2463317
1425,524341
1426,583437
1427,2031136
1428,1700282
1429,1627866
1430,2221349
1431,397391
1432,176490
1433,865585
1434,155735
1435,159931
1436,1420770
1437,1213752
1438,127865
1439,480832
1440,1213427
1441,291364
1442,1676837
1443,1148823
1444,2267346
1445,2130194
1446,1146825
1447,2375866,404235,2590650,2233462
1448,2303762,2396177,1806296
1449,2896412,1770781
1450,1273915
1451,455720
1452,1034310
1453,459290
1454,426346
1455,2134749
1456,2102573,1733765
1457,731839
